"Sultan Abdul Halim Airport","Alor Setar","Malaysia","AOR",6.189670085906982,100.39800262451172
"Kuala Lumpur International Airport","Kuala Lumpur","Malaysia","KUL",2.745579957962,101.70999908447
"Husein Sastranegara International Airport","Bandung","Indonesia","BDO",-6.900629997253418,107.57599639892578
"Kota Kinabalu International Airport","Kota Kinabalu","Malaysia","BKI",5.9372100830078125,116.0510025024414
"Guangzhou Baiyun International Airport","Guangzhou","China","CAN",23.39240074157715,113.29900360107422
"Soekarno-Hatta International Airport","Jakarta","Indonesia","CGK",-6.1255698204,106.65599823
"Hangzhou Xiaoshan International Airport","Hangzhou","China","HGH",30.22949981689453,120.43399810791016
"Chek Lap Kok International Airport","Hong Kong","Hong Kong","HKG",22.3089008331,113.915000916
"Senai International Airport","Johor Bahru","Malaysia","JHB",1.6413099765777588,103.66999816894531
"Sultan Ismail Petra Airport","Kota Bahru","Malaysia","KBR",6.1668500900268555,102.29299926757812
"Kuching International Airport","Kuching","Malaysia","KCH",1.4846999645233154,110.34700012207031
"Miri Airport","Miri","Malaysia","MYY",4.322010040283203,113.98699951171875
"Penang International Airport","Penang","Malaysia","PEN",5.297140121459961,100.2770004272461
"Sandakan Airport","Sandakan","Malaysia","SDK",5.900899887084961,118.05899810791016
"Singapore Changi Airport","Singapore","Singapore","SIN",1.35019,103.994003
"Shenzhen Bao'an International Airport","Shenzhen","China","SZX",22.639299392700195,113.81099700927734
"Taiwan Taoyuan International Airport","Taipei","Taiwan","TPE",25.0777,121.233002
"Tawau Airport","Tawau","Malaysia","TWU",4.320159912109375,118.12799835205078
"Kempegowda International Airport","Bangalore","India","BLR",13.1979,77.706299
"Sultan Aji Muhamad Sulaiman Airport","Balikpapan","Indonesia","BPN",-1.26827001572,116.893997192
"Sultan Iskandar Muda International Airport","Banda Aceh","Indonesia","BTJ",5.522872024010001,95.42063713070002
"Bintulu Airport","Bintulu","Malaysia","BTU",3.12385010719,113.019996643
"Brunei International Airport","Bandar Seri Begawan","Brunei","BWN",4.944200038909912,114.9280014038086
"Netaji Subhash Chandra Bose International Airport","Kolkata","India","CCU",22.654699325561523,88.44670104980469
"Chiang Mai International Airport","Chiang Mai","Thailand","CNX",18.766799926799997,98.962600708
"Cochin International Airport","Kochi","India","COK",10.1520004272,76.40190124510002
"Don Mueang International Airport","Bangkok","Thailand","DMK",13.9125995636,100.607002258
"Ngurah Rai (Bali) International Airport","Denpasar","Indonesia","DPS",-8.7481698989868,115.16699981689
"Noi Bai International Airport","Hanoi","Vietnam","HAN",21.221200942993164,105.80699920654297
"Hat Yai International Airport","Hat Yai","Thailand","HDY",6.93320989609,100.392997742
"Phuket International Airport","Phuket","Thailand","HKT",8.11320018768,98.3169021606
"Sibu Airport","Sibu","Malaysia","SBW",2.2616000175476074,111.98500061035156
"Adi Sutjipto International Airport","Yogyakarta","Indonesia","JOG",-7.788179874420166,110.43199920654297
"Krabi Airport","Krabi","Thailand","KBV",8.09912014008,98.9861984253
"Langkawi International Airport","Langkawi","Malaysia","LGK",6.329730033874512,99.72869873046875
"Kalibo International Airport","Kalibo","Philippines","KLO",11.679400444,122.375999451
"Kunming Changshui International Airport","Kunming","China","KMG",25.1019444,102.9291667
"Guilin Liangjiang International Airport","Guilin","China","KWL",25.21809959411621,110.03900146484375
"Labuan Airport","Labuan","Malaysia","LBU",5.300680160522461,115.25
"Lombok International Airport","Praya","Indonesia","LOP",-8.757322,116.276675
"Chennai International Airport","Madras","India","MAA",12.990005493164062,80.16929626464844
"Macau International Airport","Macau","Macau","MFM",22.149599075317383,113.59200286865234
"Nanning Wuxu Airport","Nanning","China","NNG",22.608299255371094,108.1719970703125
"Tabing Airport","Padang","Indonesia","PDG",-0.8749889731409999,100.351997375
"Sultan Syarif Kasim Ii (Simpang Tiga) Airport","Pekanbaru","Indonesia","PKU",0.46078601479530334,101.44499969482422,102,7,"N","Asia/Jakarta","airport","OurAirports"
"Sultan Mahmud Badaruddin II Airport","Palembang","Indonesia","PLM",-2.8982501029968,104.69999694824
"Phnom Penh International Airport","Phnom-penh","Cambodia","PNH",11.546600341796875,104.84400177001953
"Siem Reap International Airport","Siem-reap","Cambodia","REP",13.410699844400002,103.81300354
"Yangon International Airport","Yangon","Burma","RGN",16.907300949099998,96.1332015991
"Tan Son Nhat International Airport","Ho Chi Minh City","Vietnam","SGN",10.8187999725,106.652000427
"Adi Sumarmo Wiryokusumo Airport","Solo City","Indonesia","SOC",-7.516089916229248,110.75700378417969
"Achmad Yani Airport","Semarang","Indonesia","SRG",-6.97273,110.375
"Juanda International Airport","Surabaya","Indonesia","SUB",-7.3798298835754395,112.78700256347656
"Sultan Mahmud Airport","Kuala Terengganu","Malaysia","TGG",5.3826398849487305,103.10299682617188
"Tiruchirapally Civil Airport Airport","Tiruchirappalli","India","TRZ",10.765399932861328,78.70970153808594
"Hasanuddin International Airport","Ujung Pandang","Indonesia","UPG",-5.061629772186279,119.55400085449219
"Surat Thani Airport","Surat Thani","Thailand","URT",9.13259983063,99.135597229
"Wattay International Airport","Vientiane","Laos","VTE",17.988300323500003,102.56300354
